COUNTY,ZIP,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01001,36066,PRATTVILLE,AL,0.301616658,0.281265207,0.524210526,0.303502405
01001,36758,PLANTERSVILLE,AL,0.005899047,0.001459854,0.0,0.005547195
01001,36068,PRATTVILLE,AL,0.043748605,0.164476886,0.004210526,0.050514886
01001,36067,PRATTVILLE,AL,0.450719046,0.489537713,0.387368421,0.452184946
01001,36749,JONES,AL,0.014540353,0.001459854,0.014736842,0.013749963
01001,36003,AUTAUGAVILLE,AL,0.0355856,0.018491484,0.04,0.034610959
01001,36091,VERBENA,AL,0.008481872,0.001459854,0.0,0.00793721
01001,36051,MARBURY,AL,0.032365039,0.01216545,0.010526316,0.030834145
01001,36703,SELMA,AL,0.004783011,0.006326034,0.0,0.004809536
01001,36006,BILLINGSLEY,AL,0.018717515,0.00486618,0.010526316,0.017762828
01001,36022,DEATSVILLE,AL,0.082522879,0.016545012,0.008421053,0.077483698
01001,36008,BOOTH,AL,0.001020376,0.001946472,0.0,0.001062229
01003,36507,BAY MINETTE,AL,0.059870849,0.062965471,0.086686174,0.060459045
01003,36555,MAGNOLIA SPRINGS,AL,0.003914848,0.000977958,0.00329188,0.003705455
01003,36480,URIAH,AL,3.3604e-05,0.0,0.0,3.0836e-05
01003,36551,LOXLEY,AL,0.028518463,0.020461897,0.016093636,0.027793481
01003,36580,SUMMERDALE,AL,0.025253289,0.026103964,0.021214338,0.025254654
01003,36542,GULF SHORES,AL,0.114633914,0.071992778,0.168983175,0.112484454
01003,36578,STAPLETON,AL,0.00926906,0.005792522,0.000365764,0.008906454
01003,36527,DAPHNE,AL,0.051184255,0.059053637,0.054498903,0.051768442
01003,36502,ATMORE,AL,0.000946508,0.000526593,0.0,0.000904522
01003,36550,LITTLE RIVER,AL,0.000896103,0.000376138,0.0,0.000847989
01003,36533,FAIRHOPE,AL,0.007706482,0.037538554,0.000731529,0.009646517
01003,36532,FAIRHOPE,AL,0.123326109,0.134807794,0.159107535,0.124613266
01003,36530,ELBERTA,AL,0.035872104,0.015873016,0.018288222,0.034258755
01003,36549,LILLIAN,AL,0.031173166,0.01143459,0.002560351,0.029422648
01003,36579,STOCKTON,AL,0.00594788,0.002181599,0.003657644,0.005658399
01003,36526,DAPHNE,AL,0.114096253,0.159783345,0.118873446,0.117284585
01003,36559,MONTROSE,AL,0.004771746,0.007447529,0.000365764,0.004892639
01003,36577,SPANISH FORT,AL,0.004245286,0.012713458,0.000365764,0.004769296
01003,36511,BON SECOUR,AL,0.00481095,0.004287971,0.002926116,0.004748738
01003,36567,ROBERTSDALE,AL,0.042990518,0.039193561,0.061082663,0.042985332
01003,36561,ORANGE BEACH,AL,0.101959664,0.084254871,0.106437454,0.100813042
01003,36535,FOLEY,AL,0.144429323,0.161964944,0.145208486,0.145638253
01003,36562,PERDIDO,AL,0.004967768,0.001730234,0.003657644,0.004728181
01003,36547,GULF SHORES,AL,0.041534352,0.045437448,0.000731529,0.041227682
01003,36576,SILVERHILL,AL,0.017104357,0.003460468,0.018288222,0.016188881
01003,36536,FOLEY,AL,0.008708996,0.020913263,0.000731529,0.009430665
01003,36564,POINT CLEAR,AL,0.006418334,0.006845708,0.000365764,0.006362487
01003,36574,SEMINOLE,AL,0.00541582,0.001880689,0.005486467,0.005175302
01005,36016,CLAYTON,AL,0.130500484,0.067471201,0.320293399,0.128515126
01005,36017,CLIO,AL,0.086133946,0.071311026,0.124694377,0.085534725
01005,36027,EUFAULA,AL,0.589639749,0.702139331,0.533007335,0.599328931
01005,36317,CLOPTON,AL,0.001571567,0.000548546,0.0,0.001438006
01005,36311,ARITON,AL,0.022485493,0.003291278,0.002444988,0.020185343
01005,36072,EUFAULA,AL,0.080693907,0.120680197,0.004889976,0.082925011
01005,36053,MIDWAY,AL,0.031612669,0.01810203,0.0,0.029612271
01005,36374,SKIPPERVILLE,AL,0.004775145,0.002194185,0.0,0.004420537
01005,36048,LOUISVILLE,AL,0.052587041,0.014262205,0.014669927,0.048040051
01007,36793,LAWLEY,AL,0.02011102,0.002945508,0.044585987,0.019450317
01007,35184,WEST BLOCTON,AL,0.267995268,0.111929308,0.159235669,0.257589852
01007,35042,CENTREVILLE,AL,0.295659296,0.407952872,0.369426752,0.303086681
01007,35035,BRIERFIELD,AL,0.081718082,0.033873343,0.031847134,0.078308668
01007,35074,GREEN POND,AL,0.0,0.001472754,0.0,8.4567e-05
01007,35456,DUNCANVILLE,AL,0.000728001,0.0,0.0,0.000676533
01007,35111,MC CALLA,AL,0.013741014,0.004418262,0.012738854,0.013192389
01007,35188,WOODSTOCK,AL,0.115570116,0.219440353,0.121019108,0.121606765
01007,36750,MAPLESVILLE,AL,0.004186004,0.002945508,0.0,0.004059197
01007,35080,HELENA,AL,0.000546001,0.0,0.0,0.0005074
01007,36756,MARION,AL,0.0,0.001472754,0.0,8.4567e-05
01007,35115,MONTEVALLO,AL,0.008281008,0.001472754,0.0,0.007780127
01007,36792,RANDOLPH,AL,0.03994904,0.011782032,0.006369427,0.037885835
01007,35034,BRENT,AL,0.151515152,0.200294551,0.25477707,0.155687104
01009,35180,WARRIOR,AL,0.097478546,0.084028223,0.189616253,0.098095268
01009,35172,TRAFFORD,AL,0.038931778,0.021808852,0.038374718,0.038094646
01009,35013,ALLGOOD,AL,0.0,0.000641437,0.0,3.1072e-05
01009,35133,REMLAP,AL,0.066498791,0.032713278,0.040632054,0.064506106
01009,35976,GUNTERSVILLE,AL,0.010403896,0.003207184,0.013544018,0.010098499
01009,35952,ALTOONA,AL,0.058049766,0.075689545,0.027088036,0.058478078
01009,35077,HANCEVILLE,AL,6.6267e-05,0.0,0.0,6.2145e-05
01009,35980,HORTON,AL,0.024386203,0.010262989,0.006772009,0.02345959
01009,35097,LOCUST FORK,AL,0.027533879,0.037844772,0.020316027,0.027934002
01009,35126,PINSON,AL,0.008084557,0.004490058,0.0,0.007799149
01009,35063,EMPIRE,AL,0.00927736,0.003848621,0.006772009,0.008979896
01009,35049,CLEVELAND,AL,0.067393393,0.057087877,0.0248307,0.066308299
01009,35016,ARAB,AL,0.005964017,0.002565747,0.0,0.005717304
01009,35121,ONEONTA,AL,0.259235943,0.500962155,0.424379233,0.27321878
01009,35031,BLOUNTSVILLE,AL,0.142308075,0.087876844,0.146726862,0.139732157
01009,35957,BOAZ,AL,0.00811769,0.00192431,0.004514673,0.007768076
01009,35079,HAYDEN,AL,0.160697127,0.071840924,0.056433409,0.154957586
01009,35146,SPRINGVILLE,AL,0.015572711,0.003207184,0.0,0.014759345
01011,36053,MIDWAY,AL,0.140424111,0.053949904,0.194444444,0.133863081
01011,36031,FORT DAVIS,AL,0.0,0.001926782,0.0,0.000152812
01011,36029,FITZPATRICK,AL,0.069126732,0.032755299,0.0,0.065861858
01011,36830,AUBURN,AL,0.000333946,0.0,0.0,0.000305623
